jugs	5	10
jugs	50	10
6 pullups	50	10
6 pullups	50	10
_smaller_ half crimp	50	10
half crimp	50	10
3 finger drag	50	10
_smaller_ half crimp	50	10
_smallest_ half crimp	110	10
half crimp	110	10
half crimp	110	10
chisel grip	110	10
chisel grip	110	10
chisel grip	110	10
3 finger drag	110	10
3 finger drag	110	10
3 finger drag	110	10
